jumlah_dosen,univ_name
35,STIKES Senior Medan
15,STIKES Siti Hajar
6,Sekolah Tinggi Ilmu Ekonomi Profesional Indonesia
0,STKIP Pangeran Antasari
13,STIKES Murni Teguh
43,Sekolah Tinggi Ilmu Kesehatan Mitra Husada Medan
7,Akademi Perniagaan dan Perusahaan APIPSU Medan
0,Akademi Bank dan Keuangan Swadaya
0,Akademi Pertanian Gunung Sitoli
21,Akademi Maritim Indonesia Medan
9,Akademi Akuntansi YPK Medan
14,Akademi Pariwisata Dan Perhotelan Darma Agung
2,Akademi Sekretari Manajemen Maria Goreti
25,Akademi Teknik Indonesia Cut Meutia
0,Akademi Manajemen Gunung Leuser
23,Akademi Maritim Belawan
0,Akademi Teknologi Lorena
18,Akademi Sekretari Manajemen Cendana
0,Akademi Sekretari Manajemen Lancang Kuning
3,Akademi Pariwisata Taman Harapan
12,Akademi Teknologi Industri Immanuel
20,AMIK Medan Business Polytechnic
3,Akademi Manajemen Informatika Dan Komputer Itmi
2,Akademi Pariwisata Nusantara Medan
4,AMIK Parbina Nusantara
7,Akademi Farmasi Indah Deli Serdang
5,Akademi Kebidanan Nusantara 2000
5,Akademi Manajemen Informatika & Komputer Universal
9,AMIK Widya Loka Medan
10,AMIK Labuhan Batu
20,Akademi Manajemen Informatika Dan Komputer Logika
18,Akademi Kebidanan Sari Mutiara
29,Akademi Teknik Deli Serdang
34,Akademi Kebidanan Helvetia Medan
8,Akademi kebidanan Kholisatur Rahmi
0,Akademi Kebidanan Flora
0,Akademi Kebidanan Imelda
4,Akademi Kebidanan Bakti Inang Persada
7,AMIK Polibisnis Medan
12,Akademi Kebidanan Bina Husada Tebing Tinggi
19,Akademi Kebidanan Henderson
29,AMIK Stiekom Sumatera Utara
14,Akademi Kebidanan Darmo Medan
0,Akademi Keperawatan Nauli Husada
0,Akademi Kebidanan Nauli Husada
0,Akademi Kebidanan Rumah Sakit Haji Medan
9,Akademi Keperawatan Surya Nusantara
2,Akademi Manajemen Informatika & Komputer Multicom
8,Akademi Keperawatan Teladan Bahagia
10,Akademi Kebidanan Sehat Medan
0,Akademi Kebidanan Widya Husada
9,Akademi Manajemen Informatika Dan Komputer Medan
31,Akademi Manajemen Informatika dan Komputer Royal
10,Akademi Keperawatan Indah
10,Akademi Kebidanan Indah
27,AMIK Intel Com Global Indo Kisaran
6,Akademi Kebidanan Langkat
30,AMIK Tunas Bangsa
0,Akademi Kebidanan Jaya Wijaya
12,Akademi Kebidanan Sentral
99,Akademi Informatika Dan Komputer Medicom
17,Akademi Kebidanan Agatha
4,Akademi Keperawatan Pemkab Tapanuli Utara
0,Akademi Kebidanan Senior
0,Akademi Kesehatan Lingkungan Binalita Sudama
8,Akademi Refraksi Optisi Binalita Sudama
9,Akademi Keperawatan Binalita Sudama
5,Akademi Teknik Elektro Medik Binalita Sudama
6,Akademi Kebidanan Dewi Maya
6,Akademi Kebidanan Arta Kabanjahe
8,Akademi Pariwisata Medan Hotel School
9,Akademi Kebidanan Hisarma Medan
16,Akademi Keperawatan Helvetia Medan
8,Akademi Kebidanan Cipto Medan
